"","length_2d","length_3d","moving_time","stopped_time","moving_distance","stopped_distance","max_speed","ave_speed","uphillnorm","downhillnorm","maxe","mine","sport"
"1495",7.62960922329,7.66333953233,2948,100,7647.78438392,15.5551484156,5.42063693598,2.59422808138,2.07087932522e-05,2.4116569357e-05,406,310,"rn"
"1498",18.1560823418,18.6718892701,8327,1081,18590.0772984,81.8119717587,3.01547639223,2.23250598035,5.62235828625e-05,6.07950536477e-05,892.9,317.4,"rn"
"1510",7.52168910976,7.71837931967,2963,81,7711.530357,6.84896266724,4.21435735305,2.60260896288,6.39351072588e-05,6.14090788997e-05,365,207,"rn"
"1511",21.0352946071,21.042699427,3860,0,21042.699427,0,12.1813151734,5.45147653549,5.8663309597e-06,5.96140925727e-06,264,233,"rn"
"1515",26.9315917166,26.9429510954,3580,0,26942.9510954,0,12.1807218896,7.52596399314,6.3679860368e-06,6.3679860368e-06,82,2,"rn"
"1533",14.8906499379,15.8149150999,10287,618,15729.3182661,85.5968337394,2.53211802753,1.52904814486,7.66064614207e-05,7.60624959098e-05,684.7,599.1,"rn"
"1536",5.08515263087,5.08637232896,751,0,5086.37232896,0,18.1951895295,6.77279937279,8.79029662328e-06,3.08741961936e-06,267,232,"rn"
"1540",16.4769753512,16.6751720104,5655,363,16658.5271887,16.6448217398,4.02868519518,2.94580498474,3.10129735044e-05,3.09522827539e-05,86,47,"rn"
"1541",7.28025055163,7.6273565582,2905,31,7624.41914107,2.93741712446,3.92134089866,2.62458490226,6.45623384342e-05,6.35046825272e-05,58.5,7.2,"rn"
"1548",6.91684776983,7.02370029697,2844,0,7023.70029697,0,3.60048697416,2.46965551933,3.36656245372e-05,2.21430346737e-05,725.5,598.1,"rn"
"1559",6.76296118621,6.77321561144,1804,0,6773.21561144,0,4.51429375429,3.75455410834,1.56558639159e-05,1.73710889011e-05,97.7,32.8,"rn"
"1570",6.57422844619,6.5911686545,2721,90,6581.41232763,9.75632687751,3.60114917841,2.4187476397,1.55014388128e-05,1.50299005897e-05,20,-2,"rn"
"1571",18.3207535679,18.32899864,7460,0,18328.99864,0,4.49510125396,2.45697032708,7.76714775803e-06,7.76714775803e-06,103,46,"rn"
"1581",3.57710830064,3.59910188985,1499,0,3599.10188985,0,3.52528434024,2.40100192785,2.41815435066e-05,2.41815435066e-05,281,256,"rn"
"1583",4.92915889462,5.03239087439,1557,0,5018.27783333,14.1130410588,4.80391343968,3.22304292442,4.6316218422e-05,5.07997419749e-05,278.6,243.3,"rn"
